element_name,value_string,ts
lumiBlock,763,2023-05-03 00:55:29.078114
BIS2C12 HV ML1 fsm,RAMP_UP,2023-05-03 00:55:38.409000
BIS2C12 HV ML2 fsm,RAMP_UP,2023-05-03 00:55:38.410000
lumiBlock,766,2023-05-03 00:56:08.066293
BIS2C12 HV ML1 fsm,ON,2023-05-03 00:56:19.434000
BIS2C12 HV ML2 fsm,ON,2023-05-03 00:56:19.435000
lumiBlock,1235,2023-05-03 05:55:36.978024
BIS2C12 JTAG fsm,REQUEST,2023-05-03 05:56:07.204000
lumiBlock,1236,2023-05-03 05:56:37.101637
BIS2C12 JTAG fsm,CAN_ELMB_NOOP,2023-05-03 05:56:52.101000
lumiBlock,1450,2023-05-03 08:44:29.495320
BIS2C12 HV ML2 fsm,STANDBY,2023-05-03 08:44:46.560000
BIS2C12 HV ML1 fsm,STANDBY,2023-05-03 08:44:46.560000
BIS2C12 HV ML2 fsm,RAMP_DOWN,2023-05-03 08:44:49.436000
BIS2C12 HV ML1 fsm,RAMP_DOWN,2023-05-03 08:44:49.436000
lumiBlock,1451,2023-05-03 08:45:00.927368
BIS2C12 HV ML1 fsm,STANDBY,2023-05-03 08:45:01.414000
BIS2C12 HV ML2 fsm,STANDBY,2023-05-03 08:45:01.415000
lumiBlock,1460,2023-05-03 08:50:21.288417
